distcode,year,pop,density,name,xcoord,ycoord,bl_ags,bl_name
8426,2017,178407,140.660361964627,Biberach,553.617091382571,5330.01883201326,8,Baden-Württemberg
8435,2017,187058,322.891439401916,Bodenseekreis,528.125017083223,5286.58124447871,8,Baden-Württemberg
8436,2017,252867,173.557992770051,Ravensburg,558.108668124242,5294.6792864923,8,Baden-Württemberg
8437,2017,116789,108.112237695457,Sigmaringen,517.865850907375,5322.24455470093,8,Baden-Württemberg
9161,2017,111425,1014.20322459693,Ingolstadt,675.93917759896,5402.80835916496,9,Bayern
9162,2017,1084356,4686.16716552412,München,687.744045718421,5336.51294454914,9,Bayern
9163,2017,50164,1694.7877485223,Rosenheim,733.066331488281,5304.24656845704,9,Bayern
9171,2017,98460,193.816859597042,Altötting,776.701209844851,5345.03389179724,9,Bayern
9172,2017,88597,125.087220032626,Berchtesgadener Land,786.375661609046,5291.92277644836,9,Bayern
9173,2017,111091,113.960042136728,Bad Tölz-Wolfratshausen,688.973415291825,5290.00320374744,9,Bayern
9174,2017,129246,263.662891083638,Dachau,675.793205840448,5355.54112444332,9,Bayern
9175,2017,122629,256.27957772115,Ebersberg,718.149427992687,5329.08397441724,9,Bayern
9176,2017,119912,108.454161998286,Eichstätt,675.468541605224,5420.41413370154,9,Bayern
9177,2017,121625,157.20241171404,Erding,723.273501434641,5353.71998899801,9,Bayern
9178,2017,148136,222.537975870476,Freising,701.384714266194,5368.82242984491,9,Bayern
9179,2017,186678,500.991260349586,Fürstenfeldbruck,664.634874825919,5339.87992940372,9,Bayern
9180,2017,76954,87.0916114245068,Garmisch-Partenkirchen,656.751072617778,5270.02211612405,9,Bayern
9181,2017,109214,148.117160013427,Landsberg am Lech,644.925348656188,5322.34333154232,9,Bayern
9182,2017,87204,114.50786174413,Miesbach,711.699090724332,5293.50833338066,9,Bayern
9183,2017,101350,142.160356623993,Mühldorf a. Inn,751.988570032486,5350.16581336029,9,Bayern
9184,2017,287162,521.532231355192,München Kreis,680.498635542212,5331.82049884826,9,Bayern
9185,2017,86580,130.000540745147,Neuburg-Schrobenhausen,663.433813830137,5390.02650968673,9,Bayern
9186,2017,112561,165.881348137442,Pfaffenhofen a.d. Ilm,686.336050160101,5387.17391791263,9,Bayern
9187,2017,233493,180.241759005176,Rosenheim Kreis,721.742374377981,5307.0228371332,9,Bayern
9188,2017,116664,277.915607315673,Starnberg,670.946223452734,5316.40255051971,9,Bayern
9189,2017,159209,114.939755894012,Traunstein,768.243563232464,5310.59759874245,9,Bayern
9190,2017,121886,138.934078443548,Weilheim-Schongau,655.851998457603,5294.49931377895,9,Bayern
9261,2017,58740,1081.4674160717,Landshut,735.715395715439,5382.41329274275,9,Bayern
9262,2017,44455,744.407705577918,Passau,826.52554516317,5389.74087014607,9,Bayern
9263,2017,40260,704.039059032401,Straubing,763.274206392109,5420.46354938146,9,Bayern
9271,2017,108735,137.883344751907,Deggendorf,794.422498928483,5410.46805543713,9,Bayern
9272,2017,74800,79.6294225863173,Freyung-Grafenau,830.26416627419,5418.6019025967,9,Bayern
9273,2017,106948,113.709677419355,Kelheim,714.135535867085,5409.24714888358,9,Bayern
9274,2017,142597,116.683363387431,Landshut Kreis,744.32759339767,5381.78180528389,9,Bayern
9275,2017,176621,124.502653386662,Passau Kreis,815.435773538136,5383.85277632117,9,Bayern
9276,2017,72903,79.4930190092225,Regen,800.807385565942,5437.6653610303,9,Bayern
9277,2017,108953,93.9510306663232,Rottal-Inn,783.070077277113,5369.55377069721,9,Bayern
9278,2017,92965,83.0861670078727,Straubing-Bogen,772.56497669054,5424.53355330143,9,Bayern
9279,2017,84777,109.199161330021,Dingolfing-Landau,770.416168438498,5393.89234653299,9,Bayern
9361,2017,37818,842.768801117096,Amberg,706.391061968343,5481.9081745639,9,Bayern
9362,2017,126997,1866.34508348794,Regensburg,726.737046141769,5434.55050803595,9,Bayern
9363,2017,37938,602.848235794247,Weiden i.d. OPf.,725.620591988955,5505.8991898758,9,Bayern
9371,2017,97263,81.8842714612181,Amberg-Sulzbach,695.989005247277,5485.40243918979,9,Bayern
9372,2017,120460,83.4009025235291,Cham,774.428412474999,5462.37876887894,9,Bayern
9373,2017,121784,98.6956554089749,Neumarkt i.d. OPf.,688.635532768231,5451.86879792647,9,Bayern
9374,2017,90273,66.1801066042824,Neustadt a.d. Waldnaab,706.91167576887,5508.17612116135,9,Bayern
9375,2017,176685,138.107453634842,Regensburg Kreis,744.03756107197,5431.60729413444,9,Bayern
9376,2017,135505,100.446391837406,Schwandorf,737.419975045606,5473.22784002433,9,Bayern
9377,2017,69713,67.0786257781877,Tirschenreuth,729.144750952953,5533.6591432791,9,Bayern
9461,2017,66218,1413.01720981326,Bamberg,635.980386797736,5527.5912339338,9,Bayern
9462,2017,65789,1106.27896546569,Bayreuth,685.400687853366,5534.30730716558,9,Bayern
9463,2017,36846,853.924207910541,Coburg,640.925912531632,5569.3813205651,9,Bayern
9464,2017,38430,791.968286797656,Hof,705.24247654876,5577.23662628976,9,Bayern
