district,municipality,age_group,pop
1059,1059026,above65,710
1059,1059032,above65,67
1059,1059034,above65,48
1059,1059035,above65,143
1059,1059037,above65,171
1059,1059039,above65,223
1059,1059041,above65,166
1059,1059042,above65,200
1059,1059043,above65,201
1059,1059044,above65,579
1059,1059045,above65,2725
1059,1059049,above65,99
1059,1059050,above65,94
1059,1059051,above65,59
1059,1059053,above65,1611
1059,1059055,above65,43
1059,1059056,above65,31
1059,1059057,above65,228
1059,1059058,above65,115
1059,1059060,above65,197
1059,1059062,above65,285
1059,1059063,above65,132
1059,1059065,above65,32
1059,1059067,above65,56
1059,1059068,above65,165
1059,1059070,above65,44
1059,1059072,above65,49
1059,1059073,above65,351
1059,1059074,above65,66
1059,1059075,above65,6154
1059,1059076,above65,112
1059,1059077,above65,581
1059,1059078,above65,201
1059,1059079,above65,418
1059,1059080,above65,196
1059,1059081,above65,177
1059,1059082,above65,150
1059,1059083,above65,1174
1059,1059084,above65,70
1059,1059086,above65,155
1059,1059087,above65,191
1059,1059088,above65,61
1059,1059090,above65,175
1059,1059092,above65,391
1059,1059093,above65,114
1059,1059094,above65,212
1059,1059095,above65,69
1059,1059096,above65,103
1059,1059097,above65,117
1059,1059098,above65,289
1059,1059101,above65,90
1059,1059102,above65,44
1059,1059103,above65,123
1059,1059105,above65,16
1059,1059106,above65,224
1059,1059107,above65,412
1059,1059109,above65,193
1059,1059112,above65,682
1059,1059113,above65,2141
1059,1059115,above65,613
1059,1059116,above65,359
1059,1059118,above65,211
1059,1059120,above65,2959
1059,1059121,above65,208
1059,1059123,above65,114
1059,1059124,above65,24
1059,1059126,above65,262
1059,1059127,above65,514
1059,1059128,above65,78
1059,1059129,above65,45
1059,1059131,above65,156
1059,1059132,above65,99
1059,1059136,above65,74
1059,1059137,above65,435
1059,1059138,above65,273
1059,1059141,above65,149
1059,1059142,above65,236
1059,1059143,above65,203
1059,1059144,above65,126
1059,1059145,above65,275
1059,1059147,above65,70
1059,1059148,above65,153
1059,1059149,above65,70
1059,1059151,above65,58
1059,1059152,above65,43
1059,1059154,above65,139
1059,1059155,above65,71
1059,1059157,above65,82
1059,1059158,above65,501
1059,1059159,above65,313
1059,1059161,above65,956
1059,1059162,above65,100
1059,1059163,above65,61
1059,1059164,above65,254
1059,1059167,above65,325
1059,1059168,above65,203
1059,1059169,above65,53
1059,1059171,above65,1447
1059,1059173,above65,201
1059,1059174,above65,511
1059,1059176,above65,536
1059,1059177,above65,97
1059,1059178,above65,228
1059,1059179,above65,340
1059,1059182,above65,303
1059,1059183,above65,2207
1059,1059184,above65,671
1059,1059185,above65,1060
1059,1059186,above65,740
