district,municipality,centroid_x,centroid_y
1057,1057066,585521.267002275,6015553.35983735
1057,1057067,592049.786970808,6004829.50548448
1057,1057068,575008.306032239,5992522.30640715
1057,1057069,578975.118741163,5994369.06645834
1057,1057070,586305.068732145,6009022.33405864
1057,1057071,573872.970530256,5996800.35746593
1057,1057072,586533.257966316,6019784.20167113
1057,1057073,589860.384875437,6029681.28060002
1057,1057074,580468.456636953,6020488.9846227
1057,1057076,594878.095109902,6026275.38163262
1057,1057077,592375.922327214,6016521.71551981
1057,1057078,592432.137305704,6028175.32295813
1057,1057079,582013.923393919,6029925.16542258
1057,1057080,580202.51647853,6000577.89794413
1057,1057081,587768.342283515,6022420.1961657
1057,1057082,598529.210942634,6022521.70598481
1057,1057083,568521.842728089,5995073.80486821
1057,1057084,585735.315249287,6005627.23914091
1057,1057085,577361.576658859,5998331.79420601
1057,1057086,575595.591825235,6005254.82360874
1057,1057087,583807.142159072,6030411.30288756
1057,1057088,587187.76189771,6031041.20653773
1057,1057089,588919.655056788,6004222.71182961
1057,1057090,590200.189787074,6020604.58405457
1057,1057091,580482.403090386,6015977.35293006
1058,1058001,563794.145387141,6017475.22785681
1058,1058003,540911.601550463,6023265.53790126
1058,1058004,557902.444493712,6032884.40717574
1058,1058005,571745.998502856,6028012.31500387
1058,1058007,556783.919082625,5986832.08285884
1058,1058008,544385.830700524,6031649.23747741
1058,1058009,551731.752265415,5992536.37562032
1058,1058010,529651.710750995,6012644.45172824
1058,1058011,549941.593830841,6002383.96192531
1058,1058012,556444.31596472,6039208.0193962
1058,1058013,522691.57639923,5997457.98682596
1058,1058014,524609.597789484,5993150.12150474
1058,1058015,534840.40655479,5996793.36381628
1058,1058016,572268.181314333,6005839.40081163
1058,1058018,565285.115177699,6009604.31240545
1058,1058019,569924.499954156,6008660.8897908
1058,1058021,550904.558620895,6008667.46825426
1058,1058022,566869.201316687,6002903.88634566
1058,1058023,558031.879520635,6003568.66672469
1058,1058024,545826.876101723,6021724.32680101
1058,1058025,521470.665665808,5994140.12260503
1058,1058026,553621.457670532,6021666.9838442
1058,1058027,549806.898686119,6006013.04285373
1058,1058028,555567.558829412,6018652.87519776
1058,1058029,534819.99471116,6006082.28187509
1058,1058030,540917.328816049,6031293.66730205
1058,1058031,540973.763404299,6002405.32963307
1058,1058032,564894.749454571,6054151.57165275
1058,1058033,570430.029547301,6005064.66293739
1058,1058034,544431.693456807,6019196.17042979
1058,1058035,548714.102857832,6024240.99417776
1058,1058036,527283.990351036,6019725.47217912
1058,1058037,572297.363023015,6032123.21462342
1058,1058038,561217.061418833,6004118.55111215
1058,1058039,547758.680369297,6030819.96085383
1058,1058040,564075.063944426,6047879.69597952
1058,1058042,563779.889467848,6051232.39746564
1058,1058043,553546.249604303,6036407.72689686
1058,1058044,556692.012901845,5989452.88032023
1058,1058045,556712.095608346,6005456.38149375
1058,1058046,554223.480105995,6006009.43996273
1058,1058047,534128.159148583,6012765.95173042
1058,1058048,538405.744084713,6003274.88829787
1058,1058049,553492.879016986,6012166.82324478
1058,1058050,560289.562745036,6018154.85633026
1058,1058051,568629.475563388,6028637.28548264
1058,1058052,546413.514320674,6036957.15708832
1058,1058053,570062.403057998,6011348.13514413
1058,1058054,538064.328491493,6017855.81744141
1058,1058055,527211.816835154,6014498.7750829
1058,1058056,528451.966774842,6017738.56226501
1058,1058057,551880.473714885,6039938.42677332
1058,1058058,563308.443591289,6029644.104203
1058,1058059,553702.927413396,5998275.72108951
1058,1058061,530462.963347916,5995815.10524859
1058,1058062,543750.647087135,5990763.84982384
1058,1058063,566530.292725216,6007928.6576175
1058,1058064,571961.378073432,6001785.82179411
1058,1058065,556404.651230374,6009592.4988958
1058,1058066,549963.744089647,6028403.03260858
1058,1058067,542884.813933304,6036497.01229088
1058,1058068,535609.717854639,6002835.81186567
1058,1058069,553296.147571926,6028261.9690318
1058,1058070,532449.903666765,6008954.31208538
1058,1058071,540125.913328709,6005252.55232605
1058,1058072,527726.053337597,5998306.17068797
1058,1058073,551979.889897386,6016353.31148538
1058,1058074,549662.574577321,5998186.18766474
1058,1058075,538699.339199557,6008030.23902211
1058,1058076,564105.729465015,6004692.38941827
1058,1058077,543089.819247577,5993785.6541046
1058,1058078,532165.330768491,6017241.74550201
1058,1058080,556173.965130054,6028505.07137515
1058,1058081,545057.337567344,6025918.58808224
1058,1058082,558524.441141187,6045964.98150629
